Entity,Date,Cumulative excess deaths associated with COVID-19 pandemic (mean),Cumulative excess deaths associated with COVID-19 pandemic (upper 95% CI),Cumulative excess deaths associated with COVID-19 pandemic (low 95% CI),Cumulative excess deaths (central estimate),"Cumulative excess deaths (95% CI, lower bound)","Cumulative excess deaths (95% CI, upper bound)",Total_Deaths,Deaths_per_day
United States,2/29/2020,-868.8492,9595.128,-11349.563,,,,1,1
United States,2/28/2020,,,,,,,0,0
United States,2/27/2020,,,,,,,0,0
United States,2/26/2020,,,,,,,0,0
United States,2/25/2020,,,,,,,0,0
United States,2/24/2020,,,,-3157.431,-3157.431,-3157.431,0,0
United States,2/23/2020,,,,,,,0,0
United States,2/22/2020,,,,,,,0,0
United States,2/21/2020,,,,,,,0,0
United States,2/20/2020,,,,,,,0,0
United States,2/19/2020,,,,,,,0,0
United States,2/18/2020,,,,,,,0,0
United States,2/17/2020,,,,-3382.5623,-3382.5623,-3382.5623,0,0
United States,2/16/2020,,,,,,,0,0
United States,2/15/2020,,,,,,,0,0
United States,2/14/2020,,,,,,,0,0
United States,2/13/2020,,,,,,,0,0
United States,2/12/2020,,,,,,,0,0
United States,2/11/2020,,,,,,,0,0
United States,2/10/2020,,,,-3003.505,-3003.505,-3003.505,0,0
United States,2/9/2020,,,,,,,0,0
United States,2/8/2020,,,,,,,0,0
United States,2/7/2020,,,,,,,0,0
United States,2/6/2020,,,,,,,0,0
United States,2/5/2020,,,,,,,0,0
United States,2/4/2020,,,,,,,0,0
United States,2/3/2020,,,,-1957.7811,-1957.7811,-1957.7811,0,0
United States,2/2/2020,,,,,,,0,0
United States,2/1/2020,,,,,,,0,0
United States,1/31/2020,9271.465,16937.12,2250.4536,,,,0,0
United States,1/30/2020,,,,,,,0,0
United States,1/29/2020,,,,,,,0,0
United States,1/28/2020,,,,,,,0,0
United States,1/27/2020,,,,-1187.7239,-1187.7239,-1187.7239,0,0
United States,1/26/2020,,,,,,,0,0
United States,1/25/2020,,,,,,,0,0
United States,1/24/2020,,,,,,,0,0
United States,1/23/2020,,,,,,,0,0
United States,1/22/2020,,,,,,,0,0
United States,1/21/2020,,,,,,,0,0
United States,1/20/2020,,,,0,0,0,0,0
United States,1/19/2020,,,,,,,0,0
United States,1/18/2020,,,,,,,0,0
United States,1/17/2020,,,,,,,0,0
United States,1/16/2020,,,,,,,0,0
United States,1/15/2020,,,,,,,0,0
United States,1/14/2020,,,,,,,0,0
United States,1/13/2020,,,,0,0,0,0,0
United States,1/12/2020,,,,,,,0,0
United States,1/11/2020,,,,,,,0,0
United States,1/10/2020,,,,,,,0,0
United States,1/9/2020,,,,,,,0,0
United States,1/8/2020,,,,,,,0,0
United States,1/7/2020,,,,,,,0,0
United States,1/6/2020,,,,0,0,0,0,0
United States,1/5/2020,,,,,,,0,0
United States,1/4/2020,,,,,,,0,0
United States,1/1/2020,,,,0,0,0,0,0
